RESPID,QD2_PoliticalAffiliation,QD2A_PoliticalLean,QC3_ClintonEmailAwareness,QC4_ClintonEmailIntent,QC5_ClintonEmailHonesty,QC6_BenghaziCommittee,QC7_TiredofEmails,QB1_ObamaApproval,QB2_CongressApprove,QB3_CountryDirection,QB4_TradeAgreements,QB5_TradeAgreementAwareness,QB6_TradeAgreementOpinion,QB7_NaftaOpinion,QD3_PoliticalViews,QD3A_TeaParty,QD4_Education,QD5_Age,QD5A_AgeRange,QD6_Children,QD7_HispanicLatino,QD8_WhiteBlackAsian,QD9_Income,QD10_Gender
2666,1,,2,2,1,2,1,1,1,1,3,2,4,3,1,1,8,98,,2,1,3,1,1
773,3,3,3,1,1,2,1,1,2,1,3,3,4,4,4,3,3,18,,2,2,1,3,1
4034,2,,1,2,1,2,1,1,2,1,2,1,2,2,3,5,8,78,,2,2,1,3,1
5466,3,3,1,2,1,2,1,1,2,3,3,2,3,2,4,5,7,50,,2,2,2,3,1
980,2,,1,2,1,2,1,1,2,1,1,1,1,1,1,5,8,88,,2,2,3,3,1
5318,1,,1,2,2,2,1,1,2,1,1,2,3,3,3,5,8,42,,1,2,1,4,1
3390,1,,1,1,2,1,1,2,2,2,2,2,4,2,4,2,3,56,,2,2,1,3,2
3809,2,,1,2,1,2,1,1,2,2,2,1,2,1,1,5,7,67,,2,2,1,1,2
435,2,,1,2,1,2,1,1,2,2,3,2,4,4,3,4,3,71,,2,2,1,3,2
464,3,3,1,2,1,2,1,2,9,2,2,2,2,2,3,5,6,72,,1,2,1,2,2
507,3,9,2,2,1,2,1,9,2,2,3,3,4,3,4,3,3,68,,2,2,1,1,2
1072,1,,1,1,2,1,1,2,2,2,3,2,4,3,3,3,3,75,,2,2,1,1,2
